Name,Developer,Image URL,Link,Return to Player,Volatility,Provider,Number of Paylines,Layout,Min Bet,Max Bet,Release Date,Last Update
Wheel of Fortune Triple Extreme Spin,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/wheel-of-fortune.jpg,https://www.vegasslotsonline.com/igt/wheel-of-fortune-triple-extreme-spin/,,,,,,,,,
Triple Red Hot 777,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/triple-red-hot-777.png,https://www.vegasslotsonline.com/igt/triple-red-hot-777/,,,,,,,,,
40 Super Hot,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/40-super-hot.jpg,https://www.vegasslotsonline.com/egt/40-super-hot/,,,,,,,,,
Flaming Hot,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/egt/images/flaming-hot.png,https://www.vegasslotsonline.com/egt/flaming-hot/,,,,,,,,,
Treasures of Troy,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/ttroy.jpg,https://www.vegasslotsonline.com/igt/treasures-of-troy/,,,,,,,,,
Amazon Queen,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/amazon-queen.jpg,https://www.vegasslotsonline.com/wms/amazon-queen/,,,,,,,,,
Wizard of OZ Ruby Slippers,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/woz-ruby-slippers.jpg,https://www.vegasslotsonline.com/wms/wizard-of-oz-ruby-slippers/,,,,,,,,,
Fortune Coin,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/fortune-coin.jpg,https://www.vegasslotsonline.com/igt/fortune-coin/,,,,,,,,,
Cool Jewels,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/cool-jewels.png,https://www.vegasslotsonline.com/wms/cool-jewels/,,,,,,,,,
Twin Win,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/twin-wins.png,https://www.vegasslotsonline.com/high-5-games/twin-win/,,,,,,,,,
Raging Rhino,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/raging-rhino.jpg,https://www.vegasslotsonline.com/wms/raging-rhino/,,,,,,,,,
Blackjack,Not Listed,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/table-games/images/blackjack.png,https://www.vegasslotsonline.com/table-games/blackjack/,,,,,,,,,
Mustang Money,Ainsworth,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/ainsworth/images/mustang-money.png,https://www.vegasslotsonline.com/ainsworth/mustang-money/,,,,,,,,,
Jackpot Inferno,Everi,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/everi/images/jackpot-inferno.png,https://www.vegasslotsonline.com/everi/jackpot-inferno/,,,,,,,,,
Shining Crown,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/egt/images/shining-crown.png,https://www.vegasslotsonline.com/egt/shining-crown/,,,,,,,,,
Shadow of the Panther,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/shadow-of-the-panther.png,https://www.vegasslotsonline.com/high-5-games/shadow-of-the-panther/,,,,,,,,,
Extra Stars,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/egt/images/extra-stars.png,https://www.vegasslotsonline.com/egt/extra-stars/,,,,,,,,,
Giant's Gold,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/giants-gold.jpg,https://www.vegasslotsonline.com/wms/giants-gold/,,,,,,,,,
Super Monopoly Money,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/super-monopoly-money.png,https://www.vegasslotsonline.com/wms/super-monopoly-money/,,,,,,,,,
White Falls,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/white-falls.png,https://www.vegasslotsonline.com/high-5-games/white-falls/,,,,,,,,,
Lock it Link Night Life,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/lock-it-link-night-life.png,https://www.vegasslotsonline.com/wms/lock-it-link-night-life/,,,,,,,,,
Book of Ra Deluxe,Novomatic,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/novomatic/images/book-of-ra-deluxe.png,https://www.vegasslotsonline.com/novomatic/book-of-ra-deluxe/,,,,,,,,,
Black Diamond,Everi,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/everi/images/black-diamond.png,https://www.vegasslotsonline.com/everi/black-diamond/,,,,,,,,,
20 Super Hot,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/20-super-hot.jpg,https://www.vegasslotsonline.com/egt/20-super-hot/,,,,,,,,,
Zeus 3,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/zeus-3.jpg,https://www.vegasslotsonline.com/wms/zeus-3/,,,,,,,,,
Black Knight,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/black-knight.jpg,https://www.vegasslotsonline.com/wms/black-knight/,,,,,,,,,
Thundering Buffalo,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/thundering-buffalo.png,https://www.vegasslotsonline.com/high-5-games/thundering-buffalo/,,,,,,,,,
Dangerous Beauty,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/dangerous-beauty.png,https://www.vegasslotsonline.com/high-5-games/dangerous-beauty/,,,,,,,,,
Candy Bars,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/candy-bars.jpg,https://www.vegasslotsonline.com/igt/candy-bars/,,,,,,,,,
Jin Ji Bao Xi Endless Treasure,Shuffle Master,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/jin-ji-bao-xi-endless-treasure.png,https://www.vegasslotsonline.com/shuffle-master/jin-ji-bao-xi-endless-treasure/,,,,,,,,,
Majestic Sea,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/majestic-sea.png,https://www.vegasslotsonline.com/high-5-games/majestic-sea/,,,,,,,,,
Secrets of the Forest,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/secrets-of-the-forest.png,https://www.vegasslotsonline.com/high-5-games/secrets-of-the-forest/,,,,,,,,,
She's a Rich Girl,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/igt/images/shes-a-rich-girl-slot.jpg,https://www.vegasslotsonline.com/igt/shes-a-rich-girl/,,,,,,,,,
Elvis the King Lives,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/elvis-the-king-lives.jpg,https://www.vegasslotsonline.com/wms/elvis-the-king-lives/,,,,,,,,,
Deuces Wild,Not Listed,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/video-poker/images/deuces-wild.png,https://www.vegasslotsonline.com/video-poker/deuces-wild/,,,,,,,,,
Roulette,Not Listed,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/roulette.jpg,https://www.vegasslotsonline.com/table-games/roulette/,,,,,,,,,
The Lovely Outlaws,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/the-lovely-outlaws.png,https://www.vegasslotsonline.com/high-5-games/the-lovely-outlaws/,,,,,,,,,
Cleopatra Megajackpots,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/cleopatra-megajackpots.png,https://www.vegasslotsonline.com/igt/cleopatra-megajackpots/,,,,,,,,,
