Title,Authors,PDF Link,Filename
Federated Breast Cancer Detection Enhanced by Synthetic Ultrasound Image Augmentation,"Hongyi Pan, Ziliang Hong, Gorkem Durak, Ziyue Xu, Ulas Bagci",https://arxiv.org/pdf/2506.23334,2506.23334
Physics informed guided diffusion for accelerated multi-parametric MRI reconstruction,"Perla Mayo, Carolin M. Pirkl, Alin Achim, Bjoern Menze, Mohammad Golbabaee",https://arxiv.org/pdf/2506.23311,2506.23311
Hierarchical Quantized Diffusion Based Tree Generation Method for Hierarchical Representation and Lineage Analysis,"Zelin Zang, WenZhe Li, Fei Chen, Yongjie Xu, Chang Yu, Zhen Lei, Stan Z. Li",https://arxiv.org/pdf/2506.23287,2506.23287
Not All Explanations for Deep Learning Phenomena Are Equally Valuable,"Alan Jeffares, Mihaela van der Schaar",https://arxiv.org/pdf/2506.23286,2506.23286
Competitive Distillation: A Simple Learning Strategy for Improving Visual Classification,"Daqian Shi, Xiaolei Diao, Xu Chen, Cédric M. John",https://arxiv.org/pdf/2506.23285,2506.23285
BAPE: Learning an Explicit Bayes Classifier for Long-tailed Visual Recognition,"Chaoqun Du, Yulin Wang, Shiji Song, Gao Huang",https://arxiv.org/pdf/2506.23280,2506.23280
Improving Myocardial Infarction Detection via Synthetic ECG Pretraining,Lachin Naghashyar,https://arxiv.org/pdf/2506.23259,2506.23259
Aggregating Local Saliency Maps for Semi-Global Explainable Image Classification,"James Hinns, David Martens",https://arxiv.org/pdf/2506.23247,2506.23247
A Hierarchical Slice Attention Network for Appendicitis Classification in 3D CT Scans,"Chia-Wen Huang, Haw Hwai, Chien-Chang Lee, Pei-Yuan Wu",https://arxiv.org/pdf/2506.23209,2506.23209
External Data-Enhanced Meta-Representation for Adaptive Probabilistic Load Forecasting,"Haoran Li, Muhao Guo, Marija Ilic, Yang Weng, Guangchun Ruan",https://arxiv.org/pdf/2506.23201,2506.23201
Trident: Detecting Face Forgeries with Adversarial Triplet Learning,"Mustafa Hakan Kara, Aysegul Dundar, Uğur Güdükbay",https://arxiv.org/pdf/2506.23189,2506.23189
Deep Learning for Optical Misalignment Diagnostics in Multi-Lens Imaging Systems,"Tomer Slor, Dean Oren, Shira Baneth, Tom Coen, Haim Suchowski",https://arxiv.org/pdf/2506.23173,2506.23173
Hierarchical Corpus-View-Category Refinement for Carotid Plaque Risk Grading in Ultrasound,"Zhiyuan Zhu, Jian Wang, Yong Jiang, Tong Han, Yuhao Huang, Ang Zhang, Kaiwen Yang, Mingyuan Luo, Zhe Liu, Yaofei Duan, Dong Ni, Tianhong Tang, Xin Yang",https://arxiv.org/pdf/2506.23108,2506.23108
Dynamic Contrastive Learning for Hierarchical Retrieval: A Case Study of Distance-Aware Cross-View Geo-Localization,"Suofei Zhang, Xinxin Wang, Xiaofu Wu, Quan Zhou, Haifeng Hu",https://arxiv.org/pdf/2506.23077,2506.23077
VisionScores -- A system-segmented image score dataset for deep learning tasks,"Alejandro Romero Amezcua, Mariano José Juan Rivera Meraz",https://arxiv.org/pdf/2506.23030,2506.23030
Deep Learning in Mild Cognitive Impairment Diagnosis using Eye Movements and Image Content in Visual Memory Tasks,"Tomás Silva Santos Rocha, Anastasiia Mikhailova, Moreno I. Coco, José Santos-Victor",https://arxiv.org/pdf/2506.23016,2506.23016
Utilizing a Novel Deep Learning Method for Scene Categorization in Remote Sensing Data,"Ghufran A. Omran, Wassan Saad Abduljabbar Hayale, Ahmad AbdulQadir AlRababah, Israa Ibraheem Al-Barazanchi, Ravi Sekhar, Pritesh Shah, Sushma Parihar, Harshavardhan Reddy Penubadi",https://arxiv.org/pdf/2506.22939,2506.22939
Differentiable Radar Ambiguity Functions: Mathematical Formulation and Computational Implementation,Marc Bara Iniesta,https://arxiv.org/pdf/2506.22935,2506.22935
Real-Time Energy Management Strategies for Community Microgrids,"Moslem Uddin, Huadong Mo, Daoyi Dong",https://arxiv.org/pdf/2506.22931,2506.22931
Mathematical Computation on High-dimensional Data via Array Programming and Parallel Acceleration,Chen Zhang,https://arxiv.org/pdf/2506.22929,2506.22929
The VIBE Framework: A Student-Centered Approach to Teaching Knot Theory in Secondary Mathematics,Ioannis Diamantis,https://arxiv.org/pdf/2506.22886,2506.22886
