Make,Model,Year,Variant,Price,Location,Mileage
Suzuki,Cultus,2021,VXR,3130000,Faisalabad,23500
Toyota,Passo,2022,X L Package S,4210000,Rawalpindi,16000
Mercedes,Benz SLK Class,2012,,9500000,Lahore,118000
Honda,Civic Rebirth,2014,Oriel Prosmatec UG,3850000,Islamabad,98000
Suzuki,Alto,2023,VXR,2725000,Lahore,10300
Honda,Vezel,2014,Hybrid Z,3950000,Taxila,235000
Daihatsu,Hijet,2013,Cruise,1650000,Karachi,60000
Toyota,Surf,1992,,2625000,Islamabad,123
Suzuki,Alto,2019,VXL AGS,2425000,Karachi,63000
Suzuki,Wagon R,2015,,2100000,Karachi,150
Toyota,Passo,2023,Moda G,4700000,Rawalpindi,35000
Adam,Revo,2023,,130000000,Multan,42000
Toyota,Corolla Hatchback,2015,,3479999,Lahore,138000
Honda,Accord,2005,VTi 2.4,3300000,Lahore,152604
Suzuki,Mehran,2009,VX,850000,Gujranwala,8986
KIA,Sportage,2024,FWD,8000000,Karachi,6608
Suzuki,Cultus,2006,VXR,1019999,Wah cantt,250000
Toyota,Hilux,2020,Revo V Automatic 2.8,107000000,Multan,161003
Suzuki,Mehran,2004,VX,430000,Karachi,100000
Suzuki,Alto,2013,,2395000,Quetta,113724
Suzuki,Wagon R,2023,VXR,1500000,Islamabad,65000
Jeep,CJ 5,2000,,1600000,Karachi,5000
Toyota,Aqua,2018,S,5500000,Karachi,79508
Honda,City 5th (GM2) Generation,2020,Aspire Prosmatec 1.5 i-VTEC,4250000,Lahore,38000
Toyota,Corolla,2015,GLi Automatic 1.3 VVTi,3820000,Lahore,85000
Toyota,Land Cruiser,2011,AX G Selection,225000000,Karachi,153000
Toyota,Corolla,2010,XLi VVTi,1895000,Lahore,240000
Nissan,Dayz,2022,Highway Star S hybrid X pro pilot,3890000,Karachi,35000
Toyota,Yaris Sedan,2023,ATIV X CVT 1.5,5700000,Karachi,12034
Honda,Civic Rebirth,2015,Oriel Prosmatec UG,3975000,Lahore,78000
Toyota,Corolla,2012,XLi VVTi Limited Edition,2750000,Mardan,92431
Toyota,Yaris Sedan,2021,GLI MT 1.3,3600000,Karachi,89834
Honda,Civic 11th Generation,2022,Oriel,7430000,Lahore,52000
Honda,Fit,2010,1.5 Hybrid RS,2690000,Lahore,130000
Toyota,Passo,2010,X L Package,2275000,Karachi,79000
Prince,Pearl,2021,MT,1135000,Karachi,34000
MG,HS,2022,Trophy,6900000,Gujranwala,35000
Suzuki,Cultus,2004,VXR,1005000,Rawalpindi,65000
Changan,Karvaan,2021,Plus,2100000,Vehari,100000
Suzuki,Alto,2021,VX,2425000,Lahore,43000
Suzuki,Alto,2012,ECO-S,2185000,Rawalpindi,127000
Honda,City 5th (GM2) Generation,2013,Aspire 1.5 i-VTEC,2600000,Karachi,139208
Daihatsu,Mira,2022,X SA lll,3825000,Karachi,12000
Haval,Jolion,2025,HEV,9600000,Faisalabad,5975
Suzuki,Cultus,2010,VXLi,1360000,Lahore,82000
Suzuki,Mehran,2003,VX (CNG),620000,Peshawar,120000
Honda,Vezel,2014,,3500000,Karachi,114522
Toyota,Yaris Hatchback,2022,X,4550000,Lahore,91765
Mazda,Scrum Wagon,2014,PX Turbo,1850000,Sukkur,120000
Honda,City 5th (GM2) Generation,2018,1.3 i-VTEC Prosmatec,3500000,Lahore,106000
Toyota,Hilux,2025,Revo GR-S,174000000,Lahore,5200
Suzuki,Wagon R,2020,VXL,2625000,Muzaffar Gargh,96000
Honda,Civic,2020,Oriel 1.8 i-VTEC CVT,5875000,Multan,67000
Toyota,Corolla,2018,GLi 1.3 VVTi Special Edition,4800000,Lahore,63000
Toyota,Corolla,2016,GLi Automatic 1.3 VVTi,4385000,Lahore,59500
Suzuki,Swift,2022,GL Manual,3679999,Sialkot,25000
Toyota,Aqua,2012,G,3155000,Islamabad,118000
Hyundai,Elantra,2023,GLS,6500000,Lahore,36600
Suzuki,Alto,2008,VXR (CNG),1100000,Karachi,130000
Honda,N One,2013,G,2250000,Lahore,133000
Honda,Civic 7th Generation (Facelift),2005,EXi,1425000,Lahore,2240
Suzuki,Wagon R,2017,VXL,2075000,Rawalpindi,116000
Toyota,Hilux,2019,Revo V Automatic 2.8,110000000,Karachi,90932
Suzuki,Wagon R,2018,VXL,2150000,Karachi,89424
Toyota,C-HR,2018,S,7000000,Lahore,71096
KIA,Stonic,2022,EX+,4900000,Karachi,34000
Honda,Vezel,2014,Hybrid X,4350000,Peshawar,100974
Toyota,Corolla,2015,GLi 1.3 VVTi,2930000,Rawalpindi,126000
Toyota,Prado,2020,TX Limited 2.7,308000000,Gujranwala,49068
Toyota,Yaris Hatchback,2022,X,4250000,Karachi,13871
Honda,City 5th (GM2) Generation,2019,Aspire Prosmatec 1.5 i-VTEC,4400000,Lahore,56000
Suzuki,Cultus,2015,EURO II,1600000,Lahore,79350
Suzuki,Cultus,2006,VXR,790000,Rawalpindi,100000
Toyota,Hilux,2022,,178000000,Karachi,11000
Honda,Civic 7th Generation (Facelift),2005,EXi,1425000,Lahore,2240
Suzuki,Wagon R,2017,VXL,2075000,Rawalpindi,116000
Suzuki,Baleno,2002,,900000,Islamabad,123
Daihatsu,Charade,1986,DeTomaso,425000,Lahore,25555
Suzuki,Alto,2021,VX,2450000,Mandi bahauddin,52000
Suzuki,Cultus,2007,VXR (CNG),960000,Lahore,130000
Toyota,Raize,2019,G,5300000,Peshawar,50000
Toyota,Corolla,2019,GLi Automatic 1.3 VVTi,4400000,Gujranwala,60000
Toyota,Corolla,2011,GLi 1.3 VVTi,2050000,Karachi,128000
Honda,Vezel,2017,Hybrid RS Honda Sensing,6950000,Islamabad,40800
Daihatsu,Move,2014,L,2150000,Karachi,125000
Suzuki,Mehran,2008,VXR (CNG),810000,Islamabad,90000
Toyota,Land Cruiser,2011,AX G Selection,225000000,Karachi,153000
Toyota,Corolla,2010,XLi VVTi,1895000,Lahore,240000
Honda,City 5th (GM2) Generation,2014,1.3 i-VTEC,2650000,Karachi,155000
Suzuki,Alto,2009,G,1500000,Karachi,20000
Nissan,Dayz,2022,Highway Star S hybrid X pro pilot,3890000,Karachi,35000
Toyota,Corolla,2011,Altis SR Cruisetronic 1.8,2990000,Haripur,200000
Honda,Civic Reborn,2011,VTi Oriel Prosmatec 1.8 i-VTEC,2825000,Lahore,82000
Toyota,Yaris Sedan,2023,ATIV X CVT 1.5,5700000,Karachi,12034
Honda,Civic,1999,VTi Oriel 1.6,1380000,Jhang,15466
Toyota,Corolla,2009,Altis Cruisetronic 1.8,2590000,Karachi,109000
Suzuki,Alto,2009,VXR,1195000,Lahore,135000
Daihatsu,Cuore,2004,CX Automatic,950000,Lahore,80000
Audi,A3,2017,1.2 TFSI Exclusive Line,8200000,Lahore,85000
Toyota,Corolla,2019,Altis Automatic 1.6,4750000,Karachi,75524
Suzuki,Alto,2020,VXR,2140000,Lahore,89000
Haval,Jolion,2021,Top,7500000,Lahore,85000
Honda,Civic,2021,1.5 RS Turbo,7100000,Rawalpindi,42500
Honda,City 5th (GM2) Generation,2013,1.3 i-VTEC,3000000,Multan,106000
KIA,Carnival,2023,Executive,144000000,Lahore,68000
Lexus,RX Series,2012,450h,9950000,Lahore,71000
Lexus,RX Series,2011,450h,112999999,Lahore,118000
Honda,Civic 11th Generation,2023,RS,9390000,Lahore,11000
Toyota,Sienta,2018,X,5550000,Lahore,28000
Honda,N Wgn,2014,G,2700000,Lahore,137750
Mercedes,Benz C Class,2018,C180 Exclusive,148000000,Lahore,70500
Suzuki,Liana,2011,RXi,1350000,Lahore,141000
Toyota,Corolla,2012,XLi VVTi Limited Edition,2750000,Mardan,92431
Mitsubishi,Lancer,2006,GLX Automatic 1.3,1400000,Karachi,100000
Suzuki,Wagon R,2015,Stingray T,2750000,Karachi,90000
Toyota,Yaris Sedan,2021,GLI MT 1.3,3600000,Karachi,89834
Toyota,Corolla,2019,Altis Automatic 1.6,5500000,Multan,43000
Honda,Life,2007,Comfort Special,1580000,Lahore,125886
Mercedes,Benz E Class,2004,E240,3900000,Faisalabad,146000
Honda,Civic 11th Generation,2022,Oriel,7430000,Lahore,52000
Toyota,Corolla 9th (E120) Generation,2006,Altis Automatic 1.8,2550000,Sargodha,190000
Nissan,Sunny,1998,,850000,Bahawalpur,12300
Honda,Fit,2010,1.5 Hybrid RS,2690000,Lahore,130000
Toyota,Passo,2012,,2700000,Malakwal,98000
Honda,City,2005,i-DSI,2220000,Islamabad,351497
Suzuki,Mehran,2014,VXR Euro II,1450000,Islamabad,97000
Toyota,Passo,2010,X L Package,2275000,Karachi,79000
Suzuki,Cultus,2015,EURO II,1655000,Faisalabad,63575
Toyota,Passo,2007,G 1.0,2075000,Abbottabad,95000
Suzuki,Alto,2022,VXL AGS,2785000,Lahore,48000
MG,HS,2025,Essence,102000000,Karachi,1
Suzuki,Alto,2011,VXR,1490000,Multan,56000
Toyota,Hilux,2019,Revo V Automatic 2.8,9900000,Lahore,92000
Daihatsu,Rocky,2020,G,5400000,Islamabad,68000
Prince,Pearl,2021,MT,1135000,Karachi,34000
MG,HS,2022,Trophy,6900000,Gujranwala,35000
Honda,Vezel,2019,Hybrid Z Honda Sensing,6950000,Karachi,54903
Honda,Civic,2015,Oriel Prosmatec UG,3975000,Karachi,68000
Toyota,Prius,2011,G LED Edition 1.8,3750000,Lahore,107000
Suzuki,Swift,2019,RS 1.0,5900000,Karachi,10000
Toyota,Crown,2018,RS Advance,Call,Lahore,37000
Peugeot,2008,2023,Allure,5790000,Karachi,25129
Honda,Civic,2017,Oriel 1.8 i-VTEC CVT,5000000,Karachi,32258
Honda,N Box,2013,G,2000000,Karachi,104217
Honda,Civic,2013,,3900000,Lahore,90000
