name,year,wins,losses,goals_for,goals_against,win_percentage
Philadelphia Flyers,1994,28,16,150,132,0.6363636363636364
Pittsburgh Penguins,1994,29,16,181,158,0.6444444444444445
Quebec Nordiques,1994,30,13,185,134,0.6976744186046512
San Jose Sharks,1994,19,25,129,161,0.4318181818181818
St. Louis Blues,1994,28,15,178,135,0.6511627906976745
Tampa Bay Lightning,1994,17,28,120,144,0.37777777777777777
Toronto Maple Leafs,1994,21,19,135,146,0.525
Vancouver Canucks,1994,18,18,153,148,0.5
Washington Capitals,1994,22,18,136,120,0.55
Winnipeg Jets,1994,16,25,157,177,0.3902439024390244
Mighty Ducks of Anaheim,1995,35,39,234,247,0.47297297297297297
Boston Bruins,1995,40,31,282,269,0.5633802816901409
Buffalo Sabres,1995,33,42,247,262,0.44
Calgary Flames,1995,34,37,241,240,0.4788732394366197
Chicago Blackhawks,1995,40,28,273,220,0.5882352941176471
Colorado Avalanche,1995,47,25,326,240,0.6527777777777778
Dallas Stars,1995,26,42,227,280,0.38235294117647056
Detroit Red Wings,1995,62,13,325,181,0.8266666666666667
Edmonton Oilers,1995,30,44,240,304,0.40540540540540543
Florida Panthers,1995,41,31,254,234,0.5694444444444444
Hartford Whalers,1995,34,39,237,259,0.4657534246575342
Los Angeles Kings,1995,24,40,256,302,0.375
Montreal Canadiens,1995,40,32,265,248,0.5555555555555556
New Jersey Devils,1995,37,33,215,202,0.5285714285714286
New York Islanders,1995,22,50,229,315,0.3055555555555556
New York Rangers,1995,41,27,272,237,0.6029411764705882
Ottawa Senators,1995,18,59,191,291,0.23376623376623376
Philadelphia Flyers,1995,45,24,282,208,0.6521739130434783
Pittsburgh Penguins,1995,49,29,362,284,0.6282051282051282
San Jose Sharks,1995,20,55,252,357,0.26666666666666666
St. Louis Blues,1995,32,34,219,248,0.48484848484848486
Tampa Bay Lightning,1995,38,32,238,248,0.5428571428571428
Toronto Maple Leafs,1995,34,36,247,252,0.4857142857142857
Vancouver Canucks,1995,32,35,278,278,0.47761194029850745
Washington Capitals,1995,39,32,234,204,0.5492957746478874
Winnipeg Jets,1995,36,40,275,291,0.47368421052631576
Mighty Ducks of Anaheim,1996,36,33,245,233,0.5217391304347826
Boston Bruins,1996,26,47,234,300,0.3561643835616438
Buffalo Sabres,1996,40,30,237,208,0.5714285714285714
Calgary Flames,1996,32,41,214,239,0.4383561643835616
Chicago Blackhawks,1996,34,35,223,210,0.4927536231884058
Colorado Avalanche,1996,49,24,277,205,0.6712328767123288
Dallas Stars,1996,48,26,252,198,0.6486486486486487
Detroit Red Wings,1996,38,26,253,197,0.59375
