name,year,wins,losses,goals_for,goals_against,win_percentage
Edmonton Oilers,2008,38,35,234,248,0.5205479452054794
Florida Panthers,2008,41,30,234,231,0.5774647887323944
Los Angeles Kings,2008,34,37,207,234,0.4788732394366197
Minnesota Wild,2008,40,33,219,200,0.547945205479452
Montreal Canadiens,2008,41,30,249,247,0.5774647887323944
Nashville Predators,2008,40,34,213,233,0.5405405405405406
New Jersey Devils,2008,51,27,244,209,0.6538461538461539
New York Islanders,2008,26,47,201,279,0.3561643835616438
New York Rangers,2008,43,30,210,218,0.589041095890411
Ottawa Senators,2008,36,35,217,237,0.5070422535211268
Philadelphia Flyers,2008,44,27,264,238,0.6197183098591549
Phoenix Coyotes,2008,36,39,208,252,0.48
Pittsburgh Penguins,2008,45,28,264,239,0.6164383561643836
San Jose Sharks,2008,53,18,257,204,0.7464788732394366
St. Louis Blues,2008,41,31,233,233,0.5694444444444444
Tampa Bay Lightning,2008,24,40,210,279,0.375
Toronto Maple Leafs,2008,34,35,250,293,0.4927536231884058
Vancouver Canucks,2008,45,27,246,220,0.625
Washington Capitals,2008,50,24,272,245,0.6756756756756757
Anaheim Ducks,2009,39,32,238,251,0.5492957746478874
Atlanta Thrashers,2009,35,34,234,256,0.5072463768115942
Boston Bruins,2009,39,30,206,200,0.5652173913043478
Buffalo Sabres,2009,45,27,235,207,0.625
Calgary Flames,2009,40,32,204,210,0.5555555555555556
Carolina Hurricanes,2009,35,37,230,256,0.4861111111111111
Columbus Blue Jackets,2009,32,35,216,259,0.47761194029850745
Chicago Blackhawks,2009,52,22,271,209,0.7027027027027027
Colorado Avalanche,2009,43,30,244,233,0.589041095890411
Dallas Stars,2009,37,31,237,254,0.5441176470588235
Detroit Red Wings,2009,44,24,229,216,0.6470588235294118
Edmonton Oilers,2009,27,47,214,284,0.36486486486486486
Florida Panthers,2009,32,37,208,244,0.463768115942029
Los Angeles Kings,2009,46,27,241,219,0.6301369863013698
Minnesota Wild,2009,38,36,219,246,0.5135135135135135
Montreal Canadiens,2009,39,33,217,223,0.5416666666666666
Nashville Predators,2009,47,29,225,225,0.618421052631579
New Jersey Devils,2009,48,27,222,191,0.64
New York Islanders,2009,34,37,222,264,0.4788732394366197
New York Rangers,2009,38,33,222,218,0.5352112676056338
Ottawa Senators,2009,44,32,225,238,0.5789473684210527
Philadelphia Flyers,2009,41,35,236,225,0.5394736842105263
Phoenix Coyotes,2009,50,25,225,202,0.6666666666666666
Pittsburgh Penguins,2009,47,28,257,237,0.6266666666666667
San Jose Sharks,2009,51,20,264,215,0.7183098591549296
St. Louis Blues,2009,40,32,225,223,0.5555555555555556
Tampa Bay Lightning,2009,34,36,217,260,0.4857142857142857
Toronto Maple Leafs,2009,30,38,214,267,0.4411764705882353
Vancouver Canucks,2009,49,28,272,222,0.6363636363636364
Washington Capitals,2009,54,15,318,233,0.782608695652174
Anaheim Ducks,2010,47,30,239,235,0.6103896103896104
Atlanta Thrashers,2010,34,36,223,269,0.4857142857142857
Boston Bruins,2010,46,25,246,195,0.647887323943662
Buffalo Sabres,2010,43,29,245,229,0.5972222222222222
Calgary Flames,2010,41,29,250,237,0.5857142857142857
Carolina Hurricanes,2010,40,31,236,239,0.5633802816901409
Columbus Blue Jackets,2010,34,35,215,258,0.4927536231884058
Chicago Blackhawks,2010,44,29,258,225,0.6027397260273972
Colorado Avalanche,2010,30,44,227,288,0.40540540540540543
Dallas Stars,2010,42,29,227,233,0.5915492957746479
Detroit Red Wings,2010,47,25,261,241,0.6527777777777778
Edmonton Oilers,2010,25,45,193,269,0.35714285714285715
Florida Panthers,2010,30,40,195,229,0.42857142857142855
Los Angeles Kings,2010,46,30,219,198,0.6052631578947368
Minnesota Wild,2010,39,35,206,233,0.527027027027027
Montreal Canadiens,2010,44,30,216,209,0.5945945945945946
Nashville Predators,2010,44,27,219,194,0.6197183098591549
New Jersey Devils,2010,38,39,174,209,0.4935064935064935
New York Islanders,2010,30,39,229,264,0.43478260869565216
New York Rangers,2010,44,33,233,198,0.5714285714285714
Ottawa Senators,2010,32,40,192,250,0.4444444444444444
Philadelphia Flyers,2010,47,23,259,223,0.6714285714285714
Phoenix Coyotes,2010,43,26,231,226,0.6231884057971014
Pittsburgh Penguins,2010,49,25,238,199,0.6621621621621622
San Jose Sharks,2010,48,25,248,213,0.6575342465753424
St. Louis Blues,2010,38,33,240,234,0.5352112676056338
Tampa Bay Lightning,2010,46,25,247,240,0.647887323943662
Toronto Maple Leafs,2010,37,34,218,251,0.5211267605633803
Vancouver Canucks,2010,54,19,262,185,0.7397260273972602
Washington Capitals,2010,48,23,224,197,0.676056338028169
Anaheim Ducks,2011,34,36,204,231,0.4857142857142857
Boston Bruins,2011,49,29,269,202,0.6282051282051282
Buffalo Sabres,2011,39,32,218,230,0.5492957746478874
Calgary Flames,2011,37,29,202,226,0.5606060606060606
Carolina Hurricanes,2011,33,33,213,243,0.5
Columbus Blue Jackets,2011,29,46,202,262,0.38666666666666666
Chicago Blackhawks,2011,45,26,248,238,0.6338028169014085
Colorado Avalanche,2011,41,35,208,220,0.5394736842105263
Dallas Stars,2011,42,35,211,222,0.5454545454545454
Detroit Red Wings,2011,48,28,248,203,0.631578947368421
Edmonton Oilers,2011,32,40,212,239,0.4444444444444444
Florida Panthers,2011,38,26,203,227,0.59375
Los Angeles Kings,2011,40,27,194,179,0.5970149253731343
Minnesota Wild,2011,35,36,177,226,0.49295774647887325
Montreal Canadiens,2011,31,35,212,226,0.4696969696969697
Nashville Predators,2011,48,26,237,210,0.6486486486486487
New Jersey Devils,2011,48,28,228,209,0.631578947368421
New York Islanders,2011,34,37,203,255,0.4788732394366197
New York Rangers,2011,51,24,226,187,0.68
Ottawa Senators,2011,41,31,249,240,0.5694444444444444
Philadelphia Flyers,2011,47,26,264,232,0.6438356164383562
Phoenix Coyotes,2011,42,27,216,204,0.6086956521739131
Pittsburgh Penguins,2011,51,25,282,221,0.6710526315789473
San Jose Sharks,2011,43,29,228,210,0.5972222222222222
St. Louis Blues,2011,49,22,210,165,0.6901408450704225
Tampa Bay Lightning,2011,38,36,235,281,0.5135135135135135
Toronto Maple Leafs,2011,35,37,231,264,0.4861111111111111
Vancouver Canucks,2011,51,22,249,198,0.6986301369863014
Washington Capitals,2011,42,32,222,230,0.5675675675675675
Winnipeg Jets,2011,37,35,225,246,0.5138888888888888
